app,version,run,test,start,device,minwatt_time,joules,maxwatt_time,meanwatts,duration,maxwatt,meanamps,minwatt
abdul680_bomber,Bomber-001-0d003ee-debug-inline,44,abdul680_bomber,1542131364,A,3.78,170.97621340399982,9.981,1.3151510588361972,130.005,2.8409040000000005,337.03288381216163,0.668
abdul680_bomber,Bomber-003-10bff2a-debug-interface,2,abdul680_bomber,1542104766,A,8.071,170.31707371320005,9.882,1.3100910257622846,130.004,2.798944,335.75790621827076,0.66848
abdul680_bomber,Bomber-004-3f92d90-debug,77,abdul680_bomber,1542155673,A,6.082,170.8907282854001,121.577,1.314503617468694,130.004,2.781834,336.7821525491529,0.6676799999999999
abdul680_bomber,Bomber-005-51fe49d-debug-inline,32,abdul680_bomber,1542108653,A,8.54,168.77608908139973,9.858,1.2982576351240729,130.002,2.8532780000000004,332.5847916185911,0.67032
abdul680_bomber,Bomber-005-51fe49d-debug-interface,78,abdul680_bomber,1542153116,A,5.945,171.84451423340036,9.962,1.3218198716474652,130.006,2.8480320000000003,338.5810890266608,0.67008
abdul680_bomber,Bomber-006-c89068e-debug-aggregate,86,abdul680_bomber,1542162216,A,6.969,170.40998869540024,9.903,1.3107956516703223,130.005,2.7539208000000004,335.84395569401136,0.6677540000000001
abdul680_bomber,Bomber-008-fc76409-debug,61,abdul680_bomber,1542150393,A,2.008,166.7019069366003,9.923,1.2822533166414138,130.007,2.7735200000000004,328.1999630789117,0.6704
abdul680_bomber,Bomber-008-fc76409-debug-interface,104,abdul680_bomber,1542163919,A,0.019,170.00535605019996,9.686,1.3076731539328952,130.006,2.7949104,334.94096933987686,0.2246944
abdul680_bomber,Bomber-014-6436628-debug-string,53,abdul680_bomber,1542111941,A,0.02,160.5207463034001,9.963,1.2346515064139747,130.013,2.7427504,315.448613754011,0.46735560000000004
abdul680_bomber,Bomber-016-9073992-debug-string,101,abdul680_bomber,1542072949,A,5.907,171.53536168040006,9.903,1.3194317358326864,130.007,2.696716,337.7915349173499,0.6676799999999999
abdul680_bomber,Bomber-017-46bf810-debug-aggregate,102,abdul680_bomber,1542141543,A,0.021,170.56397545560012,9.667,1.3119801196538603,130.005,2.8440879999999997,336.2507954309453,0.654984
abdul680_bomber,Bomber-017-46bf810-debug-interface,12,abdul680_bomber,1542137917,A,2.796,170.04303572519996,121.403,1.3079730450767275,130.005,2.7114119999999997,335.1602273758705,0.6676799999999999
abdul680_bomber,Bomber-022-4b285c8-debug-string,80,abdul680_bomber,1542116504,A,5.652,170.54377239099978,9.923,1.311794446426372,130.008,2.769328,336.2411368531166,0.667926
abdul680_bomber,Bomber-023-649d2fa-debug-aggregate,71,abdul680_bomber,1542184401,A,1.653,171.03233940159967,121.265,1.3155423040066434,130.009,2.6696999999999997,337.5637983524216,0.6676068000000001
abdul680_bomber,Bomber-023-649d2fa-debug-string,105,abdul680_bomber,1542181616,A,8.405,171.35375276880023,9.961,1.3180449576850317,130.006,2.888,338.4382546959371,0.66848
abdul680_bomber,Bomber-026-d8b344a-debug-aggregate,26,abdul680_bomber,1542129824,A,4.608,168.4722046238003,9.923,1.2958602903190595,130.008,2.809954,331.89092517383585,0.6675255999999999
abdul680_bomber,Bomber-026-d8b344a-debug-interface,23,abdul680_bomber,1542165660,A,6.93,170.6961829596003,9.981,1.3129869618294563,130.006,2.7008736,336.59174838084397,0.66848
abdul680_bomber,Bomber-027-06881ad-debug,42,abdul680_bomber,1542171409,A,0.02,171.62408494719983,9.884,1.3201243400089213,130.006,2.684572,338.41804885928434,0.2417736
abdul680_bomber,Bomber-032-fcd3973-debug-aggregate,106,abdul680_bomber,1542143675,A,4.783,170.90399435979975,10.061,1.3145955490927252,130.005,2.789046,336.6691747240489,0.668
abdul680_bomber,Bomber-032-fcd3973-debug-string,13,abdul680_bomber,1542135900,A,0.019,171.30892454519957,9.903,1.3176900055012388,130.007,2.7785423999999996,337.6959794472609,0.32927999999999996
abdul680_bomber,Bomber-033-e5dff46-debug,20,abdul680_bomber,1542076688,A,1.595,170.35812814400003,9.844,1.3103866601849148,130.006,2.6542591999999994,335.279076350322,0.6688
abdul680_bomber,Bomber-033-e5dff46-debug-aggregate,7,abdul680_bomber,1542158640,A,0.021,170.85136437880024,9.884,1.314180609962619,130.006,2.851002,336.78217789948144,0.6435792
abdul680_bomber,Bomber-035-7be50fe-debug-string,116,abdul680_bomber,1542161411,A,0.024,171.24352367700024,9.666,1.3171970807270452,130.006,2.916576,337.55853222158976,0.264108
abdul680_bomber,Bomber-036-9e78bc5-debug-interface,15,abdul680_bomber,1542113282,A,0.02,165.4835799993998,10.08,1.272862494130405,130.009,2.768612,325.6734247629009,0.555856
abdul680_bomber,Bomber-037-eb508b9-debug,0,abdul680_bomber,1542075464,A,0.009,170.98769653680034,9.896,1.3151078814994872,130.018,2.7415879999999997,336.56752603485637,0.6221208
abdul680_bomber,Bomber-038-6fc8aa9-debug-interface,45,abdul680_bomber,1542183300,A,7.913,170.9731846768003,9.904,1.315087299162368,130.009,2.8095899999999996,337.4008894768819,0.6692028
abdul680_bomber,Bomber-039-81f496d-debug-string,96,abdul680_bomber,1542166767,A,10.277,171.09571404599996,9.903,1.3160601360398747,130.006,2.7219504,337.15841130409376,0.6590304
abdul680_bomber,Bomber-041-e914eb8-debug,75,abdul680_bomber,1542171978,A,7.007,171.47487437660016,121.737,1.3189664739329432,130.007,2.7448664,338.124290538202,0.6688
abdul680_bomber,Bomber-043-68e6626-debug-string,60,abdul680_bomber,1542179761,A,0.015,170.64263592720056,10.156,1.3125851769331993,130.005,2.7952799999999995,336.7799518480064,0.370668
abdul680_bomber,Bomber-045-17206e2-debug-string,57,abdul680_bomber,1542125744,A,8.544,170.91277491360026,121.58,1.3146630892165707,130.005,2.821826,336.8915892465674,0.668
abdul680_bomber,Bomber-046-48775cd-debug,46,abdul680_bomber,1542175341,A,0.034,170.74758185160042,9.647,1.3133722172775344,130.007,2.8082,336.7924876352819,0.40789119999999995
abdul680_bomber,Bomber-046-48775cd-debug-aggregate,33,abdul680_bomber,1542185482,A,6.791,172.12922380659992,121.543,1.3239691085808778,130.01,2.7939439999999998,339.9628117837082,0.669342
abdul680_bomber,Bomber-047-71fc84b-debug,40,abdul680_bomber,1542098598,A,6.337,170.75756477139987,9.941,1.3134591078211766,130.006,2.825536,336.70706459701773,0.6688
abdul680_bomber,Bomber-048-5040fc7-debug,5,abdul680_bomber,1542331365,A,8.032,172.11427599960038,10.081,1.3238643170826665,130.009,2.7864823999999997,338.5553109400123,0.6752
abdul680_bomber,Bomber-048-5040fc7-debug,22,abdul680_bomber,1542387048,A,0.026,173.1394722838003,10.024,1.3317089235984116,130.013,2.8151748,343.49398906263133,0.5690640000000001
abdul680_bomber,Bomber-048-5040fc7-debug,29,abdul680_bomber,1542382034,A,7.975,172.5604937152,9.826,1.3272761052157127,130.011,2.89713,340.9451260277964,0.674212
abdul680_bomber,Bomber-048-5040fc7-debug,49,abdul680_bomber,1542284812,A,8.173,170.87864955479978,9.827,1.3143096093866797,130.014,2.7041039999999996,343.6418302644345,0.668886
