app,version,run,test,start,device,minwatt_time,joules,maxwatt_time,meanwatts,duration,maxwatt,meanamps,minwatt
abdul680_gnucashandroid,GnucashAndroid_v1_3_3,30,abdul680_s_gnucash_energy,1542067453,A,0.02,75.47884552400008,40.389,1.006237025556253,75.011,2.927028,255.7768585940731,0.5471540000000001
abdul680_gnucashandroid,GnucashAndroid_v1_3_3-aggregate,22,abdul680_s_gnucash_energy,1542145539,A,0.02,76.28219098300008,41.239,1.0169467275866217,75.011,2.7121632,258.7622087427182,0.20540799999999998
abdul680_gnucashandroid,GnucashAndroid_v1_3_3-inline,46,abdul680_s_gnucash_energy,1542153579,A,4.804,76.8027889548,43.252,1.0238870159683247,75.011,2.6145,260.45332017970713,0.66864
abdul680_gnucashandroid,GnucashAndroid_v1_3_3-string,71,abdul680_s_gnucash_energy,1542126901,A,6.773,74.22009565200007,10.218,0.9894561551239162,75.011,2.611056,251.5854733305788,0.6675255999999999
abdul680_gnucashandroid,GnucashAndroid_v1_4_0,23,abdul680_s_gnucash_energy,1542118772,A,5.001,76.29088314379986,10.552,1.0170490474030802,75.012,2.686296,258.9758881245672,0.67032
abdul680_gnucashandroid,GnucashAndroid_v1_4_0-aggregate,2,abdul680_s_gnucash_energy,1542064344,A,0.02,76.28961440760004,31.115,1.0170321336266204,75.012,2.83032,258.6025531914893,0.27565439999999997
abdul680_gnucashandroid,GnucashAndroid_v1_4_0-interface,60,abdul680_s_gnucash_energy,1542172300,A,7.54,76.08545641460003,31.075,1.0143104625206638,75.012,2.934816,258.3838991094763,0.66928
abdul680_gnucashandroid,GnucashAndroid_v1_4_0-string,100,abdul680_s_gnucash_energy,1542130797,A,8.189,76.0519841202,31.034,1.0138777528655798,75.011,2.7931160000000004,258.17456159763253,0.668
abdul680_gnucashandroid,GnucashAndroid_v1_4_1,58,abdul680_s_gnucash_energy,1542084259,A,6.831,76.57045113060013,40.47,1.0207896325952213,75.011,3.0659916,259.71639866152987,0.6688
abdul680_gnucashandroid,GnucashAndroid_v1_4_1-inline,86,abdul680_s_gnucash_energy,1542179646,A,7.303,75.89274953639983,31.054,1.0117549364279883,75.011,2.6073540000000004,257.80806015117827,0.66848
abdul680_gnucashandroid,GnucashAndroid_v1_4_1-interface,54,abdul680_s_gnucash_energy,1542138524,A,6.793,75.9428329196,42.478,1.0124226169441815,75.011,2.7192255999999997,257.79837890442775,0.6662520000000001
abdul680_gnucashandroid,GnucashAndroid_v1_4_1-string,80,abdul680_s_gnucash_energy,1542133414,A,3.425,76.27416517120007,40.429,1.016839732455241,75.011,2.8859832,259.0272362720137,0.668
abdul680_gnucashandroid,GnucashAndroid_v1_4_2,48,abdul680_s_gnucash_energy,1542135183,A,0.02,74.75475986760007,10.798,0.9965839659196661,75.011,2.7346880000000002,253.4556867659412,0.563744
abdul680_gnucashandroid,GnucashAndroid_v1_4_2-aggregate,45,abdul680_s_gnucash_energy,1542130090,A,72.668,75.3952616748001,40.371,1.0051227376624776,75.011,2.7857559999999997,255.9341387263206,0.6688
abdul680_gnucashandroid,GnucashAndroid_v1_4_2-inline,7,abdul680_s_gnucash_energy,1542065297,A,0.019,76.30207114680009,40.351,1.0172253185815237,75.01,2.8126976000000004,258.6507721637118,0.5867660000000001
abdul680_gnucashandroid,GnucashAndroid_v1_4_2-interface,0,abdul680_s_gnucash_energy,1542124183,A,6.713,75.03023198499997,42.976,1.0002430542446539,75.012,3.1497856,254.5495566042766,0.66928
abdul680_gnucashandroid,GnucashAndroid_v1_4_2-string,110,abdul680_s_gnucash_energy,1542102777,A,0.019,75.84442183940013,31.29,1.0111106616282963,75.011,2.8779312000000004,257.4934180320221,0.4472688
abdul680_gnucashandroid,GnucashAndroid_v1_4_3-aggregate,41,abdul680_s_gnucash_energy,1542074732,A,7.48,76.22849243959996,40.29,1.0162443999413406,75.01,2.9322276,258.4211406479141,0.6688
abdul680_gnucashandroid,GnucashAndroid_v1_4_3-inline,53,abdul680_s_gnucash_energy,1542142057,A,7.736,76.21473979139996,38.085,1.0160610557445668,75.01,2.6547248000000003,258.737118517531,0.66848
abdul680_gnucashandroid,GnucashAndroid_v1_4_3-interface,43,abdul680_s_gnucash_energy,1542167041,A,7.125,76.28317786660006,40.271,1.0169598841049987,75.011,2.6393928,258.9604535334818,0.66928
abdul680_gnucashandroid,GnucashAndroid_v1_5_0,33,abdul680_s_gnucash_energy,1542123019,A,0.023,76.52969161000001,10.612,1.020246252016371,75.011,2.9533272000000004,259.8795310021198,0.3062304
abdul680_gnucashandroid,GnucashAndroid_v1_5_0-aggregate,78,abdul680_s_gnucash_energy,1542071410,A,0.02,75.39290481539992,31.37,1.0050913174787688,75.011,2.7618588,255.64847102425017,0.47406079999999995
abdul680_gnucashandroid,GnucashAndroid_v1_5_0-inline,115,abdul680_s_gnucash_energy,1542063690,A,6.97,79.52938203360003,40.725,1.0601938575945828,75.014,3.1186056,270.2527400218628,0.6822900000000001
abdul680_gnucashandroid,GnucashAndroid_v1_5_0-interface,21,abdul680_s_gnucash_energy,1542082477,A,8.525,75.55481667660001,37.967,1.0072632539208106,75.01,2.9068199999999997,256.2827129716044,0.6676799999999999
abdul680_gnucashandroid,GnucashAndroid_v1_5_0-string,56,abdul680_s_gnucash_energy,1542120808,A,4.666,76.3156301385999,40.33,1.0174060810371937,75.01,2.97542,259.2467212371687,0.6696
