app,version,run,test,start,device,minwatt_time,joules,maxwatt_time,meanwatts,duration,maxwatt,meanamps,minwatt
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,4,abdul680_yelp-one,1542339209,A,243.902,245.00473258299985,34.027,0.9799993303453925,250.005,3.4019040000000005,248.7867527449449,0.6744
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,7,abdul680_yelp-one,1542309546,A,242.57,261.8207298848,9.826,1.0472326523718862,250.012,3.3740448,266.6014444106682,0.6739908
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,11,abdul680_yelp-one,1542289442,A,0.867,242.53553071339996,10.575,0.9700994384783068,250.011,3.4174152,252.883240177432,0.6294695999999999
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,12,abdul680_yelp-one,1542344086,A,232.347,260.9530472050002,94.29,1.0437829628970396,250.007,3.385448,265.8178892591005,0.6751079999999999
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,22,abdul680_yelp-one,1542260302,A,234.744,243.5170808666,50.281,0.9740449463876867,250.006,3.4904604,248.6704945481306,0.6747888000000001
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,30,abdul680_yelp-one,1542349455,A,245.217,244.80768489160002,9.825,0.9792307395664,250.0,3.440448,248.98845791999972,0.6752
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,34,abdul680_yelp-one,1542249273,A,0.02,259.7870792078,10.399,1.0391109088384818,250.009,3.4227131999999996,267.26375186493266,0.6489968
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,36,abdul680_yelp-one,1542238497,A,0.02,260.34781342919996,66.622,1.0413620955781235,250.007,3.407144,266.0433811053288,0.431984
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,43,abdul680_yelp-one,1542265056,A,0.018,259.4153297874,144.707,1.0376613191496,250.0,3.50456,266.93943687999996,0.236164
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d,44,abdul680_yelp-one,1542284140,A,201.656,241.39374844879984,10.4,0.9655479584523626,250.007,3.57952,250.33312339254488,0.6639456
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,0,abdul680_yelp-one,1542274566,A,249.522,243.9237484020002,9.866,0.9756325531246008,250.016,3.3637032,249.26388719121954,0.6739908
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,2,abdul680_yelp-one,1542269721,A,236.158,243.3079271086003,144.522,0.9732278155231391,250.001,3.3695739999999996,248.65867952528149,0.6747888000000001
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,5,abdul680_yelp-one,1542318590,A,232.402,242.63942122080005,10.298,0.9705343920577908,250.006,3.3661696,246.12378758909773,0.6744
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,8,abdul680_yelp-one,1542357193,A,0.018,244.22806257580004,10.061,0.9769083426698295,250.001,3.2884360000000004,248.41288018847914,0.3446464
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,21,abdul680_yelp-one,1542336969,A,239.12,260.0273492114003,9.826,1.0400677941338359,250.01,3.3396736000000002,264.916812127515,0.6730976000000001
abdul680_yelp-one,Yelp-5_8_0-191e7edd949178e4fda04bc57714f08558a72e6d-aggregate,23,abdul680_yelp-one,1542327503,A,0.033,263.73499664980005,10.298,1.0548893519103084,250.012,3.3811259999999996,268.6751790314065,0.5683392
